,Symbol,Prev close,IEP price,Change,High,Low,tread_quintity
0,HINDUNILVR,2181.1,2205.0,23.9,2614.3,1757.3,28955.0
1,DIVISLAB,3523.2,3510.0,-13.20,3914.95,1626.0,973.0
2,BAJFINANCE,5497.95,5480.0,-17.95,5822.2,1783.0,2404.0
3,ICICIBANK,624.05,622.0,-2.05,679.4,268.3,60861.0
4,COALINDIA,139.25,138.85,-0.40,180.25,109.55,30167.0
5,GAIL,145.4,145.0,-0.40,149.45,65.0,68786.0
6,BAJAJFINSV,10250.45,10230.0,-20.45,10579.0,3985.3,401.0
7,SBILIFE,881.5,880.0,-1.50,954.5,519.4,1922.0
8,BPCL,430.0,429.3,-0.70,481.0,252.0,27106.0
9,INDUSINDBK,1065.9,1064.95,-0.95,1203.85,235.55,14499.0
10,HCLTECH,950.15,949.5,-0.65,1067.0,375.25,8422.0
11,IOC,97.55,97.5,-0.05,114.45,71.15,71241.0
12,TITAN,1425.55,1425.0,-0.55,1621.35,720.9,3723.0
13,RELIANCE,2080.3,2080.0,-0.30,2369.35,866.98,46386.0
14,ADANIPORTS,653.5,658.8,5.3,676.65,203.0,20529.0
15,TCS,3071.85,3096.0,24.15,3339.8,1506.05,28300.0
16,ONGC,105.1,105.9,0.8,115.5,50.0,109879.0
17,HINDALCO,308.0,310.0,2.0,313.35,84.9,45841.0
18,UPL,552.8,556.0,3.2,601.15,240.15,11569.0
19,DRREDDY,4681.45,4708.0,26.55,5512.65,2495.05,5157.0
20,BRITANNIA,3331.2,3350.0,18.8,4010.0,2100.0,2535.0
21,ASIANPAINT,2416.45,2428.75,12.3,2873.45,1431.2,4489.0
22,ITC,215.95,212.0,1.05,239.2,134.6,236032.0
23,TECHM,993.95,998.95,5.0,1081.55,471.4,6015.0
24,CIPLA,807.35,811.4,4.05,878.9,355.3,9276.0
25,HDFCBANK,1539.1,1545.05,5.95,1641.0,738.75,46923.0
26,TATASTEEL,670.7,672.9,2.2,731.5,250.85,24261.0
27,HEROMOTOCO,3389.7,3400.0,10.3,3629.05,1475.0,1798.0
28,GRASIM,1218.0,1221.5,3.5,1258.6,385.05,1843.0
29,INFY,1291.3,1295.0,3.7,1392.8,509.25,16209.0
30,SBIN,399.55,400.6,1.05,427.7,149.45,100889.0
31,SHREECEM,27542.45,27615.0,72.55,29090.0,15410.0,73.0
32,BAJAJ-AUTO,4001.1,4010.0,8.9,4361.4,1788.65,1524.0
33,NESTLEIND,16376.4,16411.05,34.65,18844.0,12200.0,339.0
34,TATAMOTORS,311.85,312.45,0.6,341.9,63.5,147318.0
35,WIPRO,429.95,430.7,0.75,467.45,159.4,15384.0
36,LT,1508.8,1510.9,2.1,1593.0,661.0,5955.0
37,JSWSTEEL,395.65,396.15,0.5,421.9,132.5,10280.0
38,SUNPHARMA,607.3,608.0,0.7,654.4,312.0,9990.0
39,POWERGRID,232.2,232.45,0.25,238.3,122.15,14006.0
40,BHARTIARTL,581.35,582.0,0.65,623.0,361.75,42825.0
41,ULTRACEMCO,6208.5,6215.0,6.5,6589.0,2910.0,462.0
42,NTPC,104.2,104.3,0.1,112.45,73.2,105883.0
43,M&M,879.25,880.0,0.75,952.05,245.4,8305.0
44,EICHERMOT,2584.65,2586.1,1.45,3037.0,1245.01,1630.0
45,HDFCLIFE,710.65,711.0,0.35,731.0,340.0,4770.0
46,AXISBANK,749.65,749.65,0.0,799.0,286.0,33382.0
47,MARUTI,7323.0,7323.0,0.0,8329.0,4001.1,1470.0
48,KOTAKBANK,1938.75,1938.75,0.0,2049.0,1001.0,7615.0
49,HDFC,2741.3,2741.3,0.0,2896.0,1473.45,10560.0
