,Symbol,Prev close,IEP price,Change,High,Low,tread_quintity
0,PNB,42.05,42.55,0.5,53.7,26.3,502885.0
1,ICICIBANK,624.05,622.0,-2.05,679.4,268.3,60861.0
2,BANDHANBNK,337.25,336.8,-0.45,434.0,152.2,20586.0
3,INDUSINDBK,1065.9,1064.95,-0.95,1203.85,235.55,14499.0
4,IDFCFIRSTB,62.4,63.0,0.6,66.8,17.65,410064.0
5,HDFCBANK,1539.1,1545.05,5.95,1641.0,738.75,46923.0
6,FEDERALBNK,83.45,83.75,0.3,89.7,35.7,31043.0
7,RBLBANK,246.25,246.9,0.65,319.5,101.55,13182.0
8,SBIN,399.55,400.6,1.05,427.7,149.45,100889.0
9,BANKBARODA,91.2,91.4,0.2,99.85,36.0,172805.0
10,AXISBANK,749.65,749.65,0.0,799.0,286.0,33382.0
11,KOTAKBANK,1938.75,1938.75,0.0,2049.0,1001.0,7615.0
